Window,Interval,Slippage %,Strategy,final_equity,total_return_pct,buy_hold_final_equity,buy_hold_return_pct,num_trades,active_bars,total_bars,win_rate_pct,total_slippage_cost_usd
Down-Trend (Jun 2026),Daily,0.2,Filtered+Hysteresis,9850.378669493793,-1.4962133050620663,8209.720356986316,-17.902796430136835,3,4,29,50.0,60.0
Down-Trend (Jun 2026),Daily,0.2,Filtered+CMF+VolVeto+Hysteresis,10251.406289490194,2.5140628949019472,8209.720356986316,-17.902796430136835,1,1,29,100.0,20.0
Down-Trend (Jun 2026),Daily,0.54,Unfiltered,8456.365634185076,-15.436343658149232,8209.720356986316,-17.902796430136835,8,29,29,41.37931034482759,810.0
Down-Trend (Jun 2026),Daily,0.54,Filtered+Hysteresis,9751.297839046316,-2.4870216095368436,8209.720356986316,-17.902796430136835,3,4,29,50.0,162.0
Down-Trend (Jun 2026),Daily,0.54,Filtered+CMF+VolVeto+Hysteresis,10217.406289490196,2.1740628949019625,8209.720356986316,-17.902796430136835,1,1,29,100.0,54.0
Down-Trend (Jun 2026),Hourly,0.2,Unfiltered,6483.954599991196,-35.16045400008804,7934.588888136973,-20.65411111863027,92,719,719,52.01668984700974,3660.0
Down-Trend (Jun 2026),Hourly,0.2,Filtered+Hysteresis,9974.760937516952,-0.2523906248304786,7934.588888136973,-20.65411111863027,98,196,719,59.183673469387756,1960.0
Down-Trend (Jun 2026),Hourly,0.2,Filtered+CMF+VolVeto+Hysteresis,9052.18122167888,-9.478187783211201,7934.588888136973,-20.65411111863027,58,93,719,55.913978494623656,1160.0
Down-Trend (Jun 2026),Hourly,0.54,Unfiltered,3464.3150967180018,-65.35684903281998,7934.588888136973,-20.65411111863027,92,719,719,52.01668984700974,9882.0
Down-Trend (Jun 2026),Hourly,0.54,Filtered+Hysteresis,7144.362497565397,-28.556375024346035,7934.588888136973,-20.65411111863027,98,196,719,59.183673469387756,5292.0
Down-Trend (Jun 2026),Hourly,0.54,Filtered+CMF+VolVeto+Hysteresis,7428.317545760715,-25.716824542392846,7934.588888136973,-20.65411111863027,58,93,719,55.913978494623656,3132.0
Down-Trend (Jun 2026),15-Minute,0.2,Unfiltered,5465.49113246583,-45.34508867534171,7943.065720133069,-20.56934279866931,158,2879,2879,50.052101424105594,6300.0
Down-Trend (Jun 2026),15-Minute,0.2,Filtered+Hysteresis,9244.052400069208,-7.55947599930793,7943.065720133069,-20.56934279866931,336,1042,2879,56.90978886756238,6720.0
Down-Trend (Jun 2026),15-Minute,0.2,Filtered+CMF+VolVeto+Hysteresis,7662.298710359627,-23.377012896403727,7943.065720133069,-20.56934279866931,302,645,2879,55.968992248062015,6040.0
Down-Trend (Jun 2026),15-Minute,0.54,Unfiltered,1857.6933522389725,-81.42306647761028,7943.065720133069,-20.56934279866931,158,2879,2879,50.052101424105594,17010.0
Down-Trend (Jun 2026),15-Minute,0.54,Filtered+Hysteresis,2941.445648777654,-70.58554351222345,7943.065720133069,-20.56934279866931,336,1042,2879,56.90978886756238,18144.0
Down-Trend (Jun 2026),15-Minute,0.54,Filtered+CMF+VolVeto+Hysteresis,2736.3071322970227,-72.63692867702977,7943.065720133069,-20.56934279866931,302,645,2879,55.968992248062015,16308.0
